preco,categoria,tipo,valor_condominio,area,quartos,banheiros,vagas,detalhes_imovel,cep,cidade,bairro,rua,detalhes_condominio
340000.0,Apartamentos,Venda - apartamento padrão,450.0,62.0,2.0,2.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha, Varanda",29,Vitória,Jardim Camburi,Avenida Santos Evangelista,"Permitido animais, Piscina, Salão de festas"
1650000.0,Apartamentos,Venda - apartamento padrão,1100.0,155.0,4.0,5.0,3.0,,2554,Vitória,Praia do Canto,,
140000.0,Casas,Venda - casa em condominio fechado,0.0,0.0,1.0,1.0,2.0,,,Vitória,Centro,Praça Costa Pereira,
418000.0,Apartamentos,Venda - apartamento padrão,450.0,89.0,2.0,5.0,2.0,"Churrasqueira, Piscina, Salão de festas",2657,Vitória,Bento Ferreira,,
420000.0,Apartamentos,Venda - apartamento padrão,370.0,89.0,3.0,0.0,1.0,,23,Vitória,Jardim Camburi,Rua Florêncio Baptista,
259900.0,Apartamentos,Venda - apartamento padrão,285.0,73.0,3.0,0.0,1.0,,,Vitória,Jardim Camburi,Rua Belmiro Teixeira Pimenta,
300000.0,Apartamentos,Venda - apartamento padrão,290.0,120.0,3.0,1.0,0.0,Varanda,27,Vitória,Jardim Camburi,Avenida Judith Leão Castello Ribeiro,
290000.0,Apartamentos,Venda - apartamento padrão,150.0,74.0,2.0,1.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha, Ar condicionado",2585,Vitória,Santa Lúcia,,"Condomínio fechado, Permitido animais"
750000.0,Apartamentos,Venda - apartamento cobertura,410.0,140.0,3.0,2.0,4.0,"Varanda, Churrasqueira, Piscina",2521,Vitória,Praia do Suá,,
570000.0,Apartamentos,Venda - apartamento padrão,45000.0,130.0,3.0,2.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha, Ar condicionado",27,Vitória,Jardim Camburi,Rua Joaquim Rodrigues Crystello,"Elevador, Permitido animais"
890000.0,Apartamentos,Venda - apartamento padrão,550.0,7246.0,2.0,1.0,2.0,,256115,Vitória,Santa Lúcia,Rua Aleixo Netto - até 417 - lado ímpar,
598200.0,Apartamentos,Venda - apartamento padrão,1.0,66.0,2.0,0.0,1.0,,2453,Vitória,Santa Luíza,Rua Vitalino dos Santos Valadares,
2000000.0,Casas,Venda - casa em rua pública,0.0,0.0,4.0,5.0,3.0,,2554,Vitória,Praia do Canto,Rua Constante Sodré,
390000.0,Apartamentos,Venda - apartamento padrão,370.0,87.0,2.0,1.0,2.0,,2235,Vitória,Jardim da Penha,Avenida Dante Michelini - lado ímpar,
550000.0,Apartamentos,Venda - apartamento padrão,542.0,90.0,2.0,2.0,1.0,,255642,Vitória,Praia do Canto,,
830000.0,Apartamentos,Venda - apartamento padrão,830.0,108.0,3.0,3.0,2.0,"Academia, Varanda, Churrasqueira, Piscina, Salão de festas",2533,Vitória,Monte Belo,,
560000.0,Apartamentos,Venda - apartamento padrão,450.0,58.0,2.0,0.0,1.0,,2575,Vitória,Barro Vermelho,,
685000.0,Apartamentos,Venda - apartamento cobertura,550.0,120.0,3.0,1.0,2.0,"Varanda, Salão de festas",24,Vitória,Jardim Camburi,Rua Pedro Busatto,
1800000.0,Casas,Venda - casa em condominio fechado,0.0,0.0,4.0,0.0,3.0,Churrasqueira,2527,Vitória,Ilha do Boi,Rua Renato Nascimento Daher Carneiro,
190000.0,Apartamentos,Venda - apartamento padrão,440.0,120.0,3.0,0.0,1.0,"Área de serviço, Quarto de serviço",24,Vitória,Centro,Rua Henrique Novaes,
811900.0,Apartamentos,Venda - apartamento padrão,1.0,86.0,3.0,0.0,2.0,,,Vitória,Jardim Camburi,Rua Carlos Delgado Guerra Pinto,
363100.0,Apartamentos,Venda - apartamento padrão,1.0,37.0,1.0,0.0,1.0,,,Vitória,Jardim da Penha,Rua Ludwik Macal,
150000.0,Apartamentos,Venda - apartamento padrão,230.0,45.0,1.0,1.0,1.0,,2625,Vitória,Morada de Camburi,Rua Sizenando Pechincha,
680000.0,Apartamentos,Venda - apartamento padrão,480.0,0.0,3.0,2.0,1.0,"Churrasqueira, Salão de festas",,Vitória,Jardim Camburi,,
320000.0,Apartamentos,Venda - apartamento padrão,285.0,70.0,2.0,1.0,1.0,,,Vitória,Jardim da Penha,Rua Odette de Oliveira Lacourt,
565000.0,Apartamentos,Venda - apartamento padrão,475000.0,98.0,3.0,2.0,1.0,,24,Vitória,Jardim Camburi,Rua José Celso Cláudio,
270000.0,Apartamentos,Venda - apartamento padrão,430.0,120.0,3.0,0.0,1.0,,21,Vitória,Centro,Rua Gama Rosa,
280000.0,Apartamentos,Venda - apartamento padrão,450.0,140.0,4.0,0.0,0.0,Salão de festas,21,Vitória,Centro,Rua São Francisco,
750000.0,Apartamentos,Venda - apartamento padrão,650.0,100.0,3.0,2.0,2.0,"Varanda, Churrasqueira, Piscina, Salão de festas",23,Vitória,Jardim Camburi,Rua Florêncio Baptista,
1280000.0,Apartamentos,Venda - apartamento padrão,575.0,180.0,4.0,4.0,2.0,"Churrasqueira, Piscina",21,Vitória,Jardim Camburi,Rua Ruy Pinto Bandeira,
255000.0,Apartamentos,Venda - apartamento padrão,320.0,80.0,3.0,1.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha, Ar condicionado, Churrasqueira",25,Vitória,Jardim Camburi,Rua Ademar Luiz Nepomoceno,Condomínio fechado
335000.0,Apartamentos,Venda - apartamento padrão,300.0,57.0,2.0,0.0,1.0,,2921,Vitória,Jardim Camburi,Rua Carlos Lindenberg,
950000.0,Casas,Venda - casa em rua pública,0.0,0.0,3.0,3.0,3.0,"Varanda, Área de serviço, Churrasqueira",24,Vitória,Jardim Camburi,Rua Oswaldo Bastos de Souza Freitas,"Área murada, Permitido animais, Portão eletrônico"
245000.0,Apartamentos,Venda - apartamento padrão,216.0,36.0,1.0,1.0,1.0,,2921,Vitória,Jardim Camburi,,
1300000.0,Apartamentos,Venda - apartamento padrão,1100.0,105.0,3.0,0.0,2.0,"Varanda, Churrasqueira, Piscina, Salão de festas",2576,Vitória,Barro Vermelho,Rua da Grécia,
220000.0,Apartamentos,Venda - apartamento padrão,500.0,50.0,2.0,2.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha",255131,Vitória,Praia do Canto,,"Elevador, Permitido animais"
280000.0,Apartamentos,Venda - apartamento padrão,480.0,80.0,2.0,2.0,1.0,Varanda,21,Vitória,Jardim da Penha,Rua Jahira Santos Rodrigues,
330000.0,Apartamentos,Venda - apartamento padrão,297.0,80.0,3.0,1.0,1.0,"Varanda, Churrasqueira, Salão de festas",,Vitória,Jardim Camburi,Rua Lumberto Maciel de Azevedo,
600650.0,Apartamentos,Venda - apartamento padrão,1.0,83.0,3.0,0.0,2.0,,,Vitória,Jardim Camburi,Rua Carlos Delgado Guerra Pinto,
640000.0,Apartamentos,Venda - apartamento padrão,0.0,90.0,3.0,3.0,2.0,,2654,Vitória,Mata da Praia,Rua Genserico Encarnação,
1300000.0,Apartamentos,Venda - apartamento padrão,950.0,150.0,4.0,3.0,2.0,"Varanda, Churrasqueira, Piscina, Salão de festas",2554,Vitória,Praia do Canto,Rua Joaquim Lírio,
85000.0,Casas,Venda - casa em rua pública,0.0,0.0,0.0,0.0,0.0,,232356,Vitória,Nova Palestina,Rua Pedro Bandeira,
1050000.0,Apartamentos,Venda - apartamento padrão,0.0,158.0,3.0,0.0,2.0,"Varanda, Churrasqueira, Piscina",25,Vitória,Santa Helena,Rua Almirante Soído,
895000.0,Apartamentos,Venda - apartamento padrão,512.0,134.0,3.0,0.0,0.0,,29,Vitória,Jardim Camburi,Avenida Isaac Lopes Rubim,
306000.0,Apartamentos,Venda - apartamento padrão,250.0,89.0,2.0,0.0,0.0,,24,Vitória,Jardim Camburi,Rua José Celso Cláudio,
3764300.0,Apartamentos,Venda - apartamento padrão,0.0,217.0,3.0,0.0,3.0,Varanda,255145,Vitória,Praia do Canto,,
335424.0,Apartamentos,Venda - apartamento padrão,0.0,5722.0,2.0,0.0,0.0,,25,Vitória,Jardim Camburi,Avenida Augusto Emílio Estelita Lins,
360000.0,Apartamentos,Venda - apartamento padrão,0.0,0.0,2.0,2.0,2.0,"Área de serviço, Varanda, Ar condicionado",25,Vitória,Jardim Camburi,Avenida Augusto Emílio Estelita Lins,
2400000.0,Apartamentos,Venda - apartamento padrão,1980.0,240.0,4.0,0.0,3.0,"Área de serviço, Armários na cozinha, Varanda",2555,Vitória,Praia do Canto,Rua Celso Calmon,"Condomínio fechado, Elevador, Segurança 24h, Portaria, Piscina, Salão de festas"
750000.0,Apartamentos,Venda - apartamento padrão,600.0,130.0,3.0,3.0,2.0,"Ar condicionado, Varanda, Área de serviço, Quarto de serviço, Armários na cozinha",,Vitória,Jardim da Penha,Rua Ludwik Macal,Elevador
249900.0,Apartamentos,Venda - apartamento padrão,285.0,73.0,3.0,0.0,1.0,,,Vitória,Jardim Camburi,Rua Belmiro Teixeira Pimenta,
334900.0,Apartamentos,Venda - apartamento padrão,0.0,65.0,2.0,2.0,1.0,"Varanda, Área de serviço",25,Vitória,Jardim Camburi,Avenida Augusto Emílio Estelita Lins,
380000.0,Apartamentos,Venda - apartamento padrão,430.0,70.0,2.0,2.0,1.0,"Ar condicionado, Armários embutidos, Área de serviço, Armários na cozinha, Mobiliado",,Vitória,Jardim da Penha,Rua Odette de Oliveira Lacourt,"Condomínio fechado, Segurança 24h, Permitido animais"
620000.0,Apartamentos,Venda - apartamento padrão,0.0,150.0,3.0,2.0,2.0,"Área de serviço, Armários na cozinha, Mobiliado, Ar condicionado, Varanda",2599,Vitória,Santa Helena,,"Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Piscina, Salão de festas"
1300000.0,Apartamentos,Venda - apartamento cobertura,900.0,360.0,4.0,4.0,2.0,,2575,Vitória,Barro Vermelho,Rua José Luiz Gabeira,"Condomínio fechado, Elevador, Permitido animais"
582999.0,Apartamentos,Venda - apartamento padrão,0.0,104.0,3.0,2.0,2.0,"Área de serviço, Churrasqueira, Varanda, Piscina, Academia",,Vitória,Jardim Camburi,Rua Domingos Póvoa Lemos,
620000.0,Apartamentos,Venda - apartamento padrão,380.0,110.0,3.0,4.0,2.0,"Armários embutidos, Piscina, Área de serviço, Varanda, Armários na cozinha, Quarto de serviço",26,Vitória,Jardim da Penha,Avenida Anísio Fernandes Coelho,"Salão de festas, Elevador, Piscina, Permitido animais"
1500000.0,Apartamentos,Venda - apartamento padrão,1040.0,168.0,4.0,5.0,1.0,"Academia, Varanda, Churrasqueira, Piscina, Salão de festas",2554,Vitória,Praia do Canto,Rua Constante Sodré,
1950000.0,Apartamentos,Venda - apartamento padrão,1500.0,200.0,4.0,2.0,3.0,"Varanda, Churrasqueira, Piscina, Salão de festas",2553,Vitória,Praia do Canto,Rua Moacir Avidos,
1200000.0,Apartamentos,Venda - apartamento padrão,960.0,160.0,4.0,4.0,2.0,"Armários embutidos, Varanda, Churrasqueira, Piscina, Salão de festas",2664,Vitória,Mata da Praia,Avenida Dante Michelini,
655000.0,Apartamentos,Venda - apartamento padrão,810.0,130.0,3.0,3.0,1.0,,2553,Vitória,Praia do Canto,Rua Moacir Avidos,
700000.0,Apartamentos,Venda - apartamento padrão,0.0,90.0,3.0,2.0,2.0,,22,Vitória,Jardim da Penha,Avenida Carlos Orlando Carvalho,"Condomínio fechado, Elevador, Segurança 24h, Portaria, Permitido animais, Piscina, Salão de festas"
750000.0,Apartamentos,Venda - apartamento padrão,790.0,130.0,3.0,3.0,0.0,"Área de serviço, Armários na cozinha, Ar condicionado, Varanda",25,Vitória,Enseada do Suá,Rua Clóvis Machado - até 800 - lado par,
1090000.0,Casas,Venda - casa em rua pública,0.0,0.0,3.0,0.0,2.0,"Varanda, Churrasqueira",2965,Vitória,Jardim Camburi,Rua Romualdo Gianordoli Filho,
800000.0,Apartamentos,Venda - apartamento padrão,460.0,98.0,3.0,0.0,0.0,"Churrasqueira, Piscina",23,Vitória,Jardim Camburi,Rua Doutor João Batista Miranda Amaral,
46046.0,Apartamentos,Venda - apartamento padrão,180.0,48.0,2.0,2.0,1.0,Área de serviço,2222,Vitória,Vila Rubim,,"Condomínio fechado, Segurança 24h, Portaria"
225000.0,Apartamentos,Venda - apartamento padrão,260.0,90.0,3.0,2.0,1.0,"Ar condicionado, Armários embutidos, Área de serviço, Armários na cozinha, Mobiliado",2523,Vitória,Praia do Suá,Rua Ulisses Sarmento,"Segurança 24h, Permitido animais"
520000.0,Apartamentos,Venda - apartamento padrão,0.0,83.0,2.0,0.0,2.0,"Churrasqueira, Piscina",21,Vitória,Jardim Camburi,Avenida Ranulpho Barbosa dos Santos,
557000.0,Apartamentos,Venda - apartamento padrão,290.0,0.0,3.0,0.0,2.0,,23,Vitória,Jardim Camburi,Rua João de Oliveira Soares,
218000.0,Apartamentos,Venda - apartamento padrão,365.0,51.0,1.0,1.0,1.0,"Área de serviço, Churrasqueira, Armários na cozinha",,Vitória,Jardim Camburi,Rua Gelu Vervloet dos Santos,"Elevador, Permitido animais, Salão de festas"
130000.0,Casas,Venda - casa em rua pública,0.0,0.0,2.0,2.0,2.0,"Área de serviço, Varanda",24,Vitória,Ilha de Monte Belo,,"Área murada, Permitido animais, Portão eletrônico"
570000.0,Apartamentos,Venda - apartamento padrão,480.0,112.0,3.0,2.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha, Varanda",,Vitória,Jardim Camburi,Rua Carlos Martins,"Elevador, Portaria, Permitido animais"
1250000.0,Apartamentos,Venda - apartamento padrão,800.0,280.0,4.0,0.0,2.0,"Churrasqueira, Piscina",2621,Vitória,Pontal de Camburi,Rua Carlos Eduardo Monteiro de Lemos,
53275.0,Apartamentos,Venda - apartamento padrão,180.0,45.0,2.0,1.0,1.0,Área de serviço,2222,Vitória,Vila Rubim,,"Condomínio fechado, Segurança 24h, Portaria"
215000.0,Apartamentos,Venda - apartamento padrão,0.0,65.0,2.0,1.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha",2611,Vitória,Jardim Camburi,,"Condomínio fechado, Segurança 24h, Portaria, Permitido animais, Salão de festas"
650000.0,Apartamentos,Venda - apartamento padrão,450.0,100.0,3.0,0.0,2.0,"Ar condicionado, Churrasqueira, Piscina",2653,Vitória,Bento Ferreira,,
90000.0,Casas,Venda - casa em rua pública,0.0,0.0,2.0,1.0,2.0,"Área de serviço, Varanda, Churrasqueira, Quarto de serviço",22,Vitória,Santo Antônio,Praça da Bandeira,"Área murada, Permitido animais, Portão eletrônico"
750000.0,Apartamentos,Venda - apartamento padrão,366.0,92.0,4.0,2.0,2.0,"Área de serviço, Armários embutidos, Armários na cozinha, Churrasqueira, Varanda",29,Vitória,Jardim Camburi,Avenida Governador Eurico Rezende,"Elevador, Permitido animais, Academia, Piscina, Salão de festas"
46064.0,Apartamentos,Venda - apartamento padrão,180.0,45.0,2.0,1.0,1.0,Área de serviço,2222,Vitória,Vila Rubim,,"Condomínio fechado, Segurança 24h, Portaria"
350000.0,Apartamentos,Venda - apartamento padrão,360.0,85.0,2.0,2.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha, Varanda",23,Vitória,Jardim Camburi,Rua Aurora de Aguiar Ferreira,"Condomínio fechado, Elevador, Salão de festas"
390000.0,Apartamentos,Venda - apartamento padrão,0.0,65.0,2.0,2.0,1.0,"Área de serviço, Armários embutidos, Armários na cozinha, Churrasqueira, Varanda, Academia, Piscina",23,Vitória,Jardim Camburi,Rua Italina Pereira Motta,"Elevador, Segurança 24h, Portaria, Permitido animais, Piscina, Salão de festas"
50071.0,Apartamentos,Venda - apartamento padrão,0.0,64.0,2.0,1.0,1.0,Área de serviço,2222,Vitória,Vila Rubim,,
50818.0,Apartamentos,Venda - apartamento padrão,0.0,65.0,2.0,1.0,1.0,Área de serviço,2222,Vitória,Vila Rubim,,
515000.0,Apartamentos,Venda - apartamento padrão,0.0,90.0,3.0,2.0,2.0,"Área de serviço, Armários na cozinha, Churrasqueira, Varanda, Piscina",23,Vitória,Jardim Camburi,Rua Italina Pereira Motta,"Elevador, Portaria, Permitido animais, Piscina, Salão de festas"
680000.0,Apartamentos,Venda - apartamento padrão,0.0,96.0,3.0,2.0,2.0,"Armários embutidos, Varanda, Área de serviço, Churrasqueira, Piscina, Armários na cozinha, Mobiliado",,Vitória,Jardim Camburi,,"Condomínio fechado, Elevador, Portaria, Permitido animais, Salão de festas"
